year,tmID,birthYear
1,CHA,1973.4615384615386
1,CLE,1973.2307692307693
1,DET,1974.3846153846155
1,HOU,1970.5
1,IND,1973.2666666666667
1,LAS,1975.0
1,MIA,1973.923076923077
1,MIN,1974.3076923076924
1,NYL,1972.7692307692307
1,ORL,1973.0
1,PHO,1972.7142857142858
1,POR,1974.5833333333333
1,SAC,1972.25
1,SEA,1972.9285714285713
1,UTA,1974.142857142857
1,WAS,1974.1538461538462
2,CHA,1974.25
2,CLE,1975.3333333333333
2,DET,1974.5833333333333
2,HOU,1972.6363636363637
2,IND,1974.923076923077
2,LAS,1974.5454545454545
2,MIA,1973.75
2,MIN,1976.1666666666667
2,NYL,1973.7333333333333
2,ORL,1974.75
2,PHO,1974.2777777777778
2,POR,1975.0
2,SAC,1973.5384615384614
2,SEA,1973.3076923076924
2,UTA,1974.3333333333333
2,WAS,1973.9285714285713
3,CHA,1974.2307692307693
3,CLE,1976.2307692307693
3,DET,1977.2
3,HOU,1973.7857142857142
3,IND,1975.6153846153845
3,LAS,1973.923076923077
3,MIA,1975.0666666666666
3,MIN,1976.75
3,NYL,1974.090909090909
3,ORL,1974.857142857143
3,PHO,1975.7333333333333
3,POR,1975.7692307692307
3,SAC,1972.142857142857
3,SEA,1976.2
3,UTA,1975.2307692307693
3,WAS,1975.5714285714287
4,CHA,1975.1818181818182
4,CLE,1976.8181818181818
4,CON,1974.3636363636363
4,DET,1977.923076923077
4,HOU,1974.3333333333333
4,IND,1975.2307692307693
4,LAS,1974.3333333333333
4,MIN,1976.3636363636363
4,NYL,1975.5833333333333
4,PHO,1977.952380952381
4,SAC,1974.3636363636363
4,SAS,1975.2727272727273
4,SEA,1975.5
4,WAS,1976.4285714285713
5,CHA,1977.0714285714287
5,CON,1977.6363636363637
5,DET,1978.5333333333333
5,HOU,1976.0
5,IND,1977.0833333333333
5,LAS,1976.8461538461538
5,MIN,1977.8333333333333
5,NYL,1976.9166666666667
5,PHO,1978.9285714285713
5,SAC,1975.5
5,SAS,1977.7333333333333
5,SEA,1976.5833333333333
5,WAS,1978.3333333333333
6,CHA,1977.8125
6,CON,1979.1666666666667
6,DET,1978.0
6,HOU,1975.5714285714287
6,IND,1977.9166666666667
6,LAS,1978.0
6,MIN,1979.8666666666666
6,NYL,1978.6666666666667
6,PHO,1979.2
6,SAC,1978.75
6,SAS,1977.5833333333333
6,SEA,1979.3076923076924
6,WAS,1978.1538461538462
7,CHA,1980.0
7,CHI,1979.4
7,CON,1980.2857142857142
7,DET,1979.4615384615386
7,HOU,1976.2307692307693
7,IND,1978.8333333333333
7,LAS,1979.7142857142858
7,MIN,1981.5454545454545
7,NYL,1980.7857142857142
7,PHO,1980.0
7,SAC,1979.3
7,SAS,1979.0
7,SEA,1979.857142857143
7,WAS,1978.75
8,CHI,1981.857142857143
8,CON,1980.3076923076924
8,DET,1979.5714285714287
8,HOU,1979.1333333333334
8,IND,1979.3333333333333
8,LAS,1980.0666666666666
8,MIN,1982.9166666666667
8,NYL,1982.357142857143
8,PHO,1980.0
8,SAC,1979.5833333333333
8,SAS,1979.7
8,SEA,1980.357142857143
8,WAS,1979.7333333333333
9,ATL,1982.4285714285713
9,CHI,1982.2307692307693
9,CON,1983.3076923076924
9,DET,1979.1052631578948
9,HOU,1980.357142857143
9,IND,1981.0
9,LAS,1980.0666666666666
9,MIN,1983.3333333333333
9,NYL,1983.5384615384614
9,PHO,1981.357142857143
9,SAC,1982.0
9,SAS,1980.75
9,SEA,1980.5
9,WAS,1981.75
10,ATL,1982.3846153846155
10,CHI,1982.8333333333333
10,CON,1983.2142857142858
10,DET,1981.0
10,IND,1980.9285714285713
10,LAS,1979.4545454545455
10,MIN,1984.3076923076924
10,NYL,1984.0
10,PHO,1982.75
10,SAC,1982.2307692307693
10,SAS,1979.5555555555557
10,SEA,1981.7692307692307
10,WAS,1983.0
